Region,Year,Energy Recovery,Landfill,Recycling,Waste generated,Waste treatment
Poland,2003,1.0,252.0,7.0,260.0,260.0
Poland,2004,1.0,241.0,12.0,256.0,254.0
Poland,2005,1.0,226.0,18.0,319.0,245.0
Poland,2006,1.0,236.0,22.0,321.0,259.0
Poland,2007,1.0,239.0,25.0,322.0,264.0
Poland,2008,1.0,229.0,34.0,320.0,263.0
Poland,2009,1.0,221.0,42.0,316.0,264.0
Poland,2010,1.0,211.0,52.0,316.0,264.0
Poland,2011,1.0,221.0,36.0,319.0,258.0
Poland,2012,1.0,212.0,38.0,317.0,252.0
Poland,2013,20.0,184.0,45.0,297.0,249.0
Poland,2014,41.0,159.0,72.0,272.0,272.0
Poland,2015,38.0,155.0,93.0,286.0,286.0
Poland,2016,60.0,140.0,107.0,307.0,307.0
Poland,2017,77.0,132.0,107.0,315.0,315.0
Poland,2018,79.0,137.0,113.0,329.0,329.0
Poland,2019,77.0,145.0,114.0,336.0,336.0
Poland,2020,75.0,139.0,135.0,350.0,350.0
Poland,2021,78.0,143.0,149.0,370.0,370.0
Poland,2022,77.0,139.0,149.0,364.0,364.0
Poland,2023,76.0,111.0,101.0,367.0,288.0
Poland,2024,85.0,116.0,121.0,387.0,322.0
Portugal,1995,0.0,317.0,34.0,352.0,352.0
Portugal,1996,1.0,335.0,36.0,372.0,372.0
Portugal,1997,1.0,357.0,40.0,397.0,397.0
Portugal,1998,0.0,370.0,43.0,413.0,413.0
Portugal,1999,0.0,387.0,46.0,433.0,433.0
Portugal,2000,96.0,313.0,48.0,457.0,457.0
Portugal,2001,94.0,307.0,54.0,454.0,454.0
Portugal,2002,91.0,316.0,33.0,441.0,441.0
Portugal,2003,96.0,304.0,49.0,449.0,449.0
Portugal,2004,95.0,290.0,60.0,445.0,445.0
Portugal,2005,101.0,283.0,68.0,452.0,452.0
Portugal,2006,93.0,299.0,74.0,465.0,465.0
Portugal,2007,90.0,301.0,81.0,471.0,471.0
Portugal,2008,94.0,334.0,90.0,518.0,518.0
Portugal,2009,102.0,316.0,101.0,520.0,520.0
Portugal,2010,100.0,320.0,96.0,516.0,516.0
Portugal,2011,103.0,288.0,99.0,490.0,490.0
Portugal,2012,88.0,246.0,118.0,453.0,453.0
Portugal,2013,104.0,222.0,113.0,439.0,439.0
Portugal,2014,93.0,221.0,137.0,452.0,452.0
Portugal,2015,91.0,214.0,137.0,459.0,442.0
Portugal,2016,92.0,207.0,146.0,472.0,445.0
Portugal,2017,96.0,226.0,141.0,484.0,463.0
Portugal,2018,92.0,244.0,147.0,504.0,482.0
Portugal,2019,96.0,242.0,147.0,510.0,486.0
Portugal,2020,109.0,290.0,136.0,508.0,535.0
Portugal,2021,120.0,270.0,155.0,510.0,545.0
Portugal,2022,103.0,280.0,153.0,508.0,536.0
Portugal,2023,92.0,285.0,154.0,505.0,532.0
Portugal,2024,116.0,270.0,170.0,519.0,556.0
Romania,1995,0.0,254.0,0.0,342.0,254.0
Romania,1996,0.0,230.0,0.0,326.0,230.0
Romania,1997,0.0,257.0,0.0,326.0,257.0
Romania,1998,0.0,224.0,0.0,278.0,224.0
Romania,1999,0.0,255.0,0.0,314.0,255.0
Romania,2000,0.0,295.0,0.0,355.0,295.0
Romania,2001,0.0,269.0,6.0,341.0,275.0
Romania,2002,0.0,308.0,8.0,385.0,316.0
Romania,2003,0.0,279.0,1.0,353.0,280.0
Romania,2004,0.0,276.0,4.0,349.0,280.0
Romania,2005,0.0,301.0,7.0,383.0,308.0
Romania,2006,0.0,297.0,2.0,396.0,299.0
Romania,2007,0.0,293.0,2.0,391.0,295.0
Romania,2008,0.0,316.0,4.0,411.0,319.0
Romania,2009,0.0,303.0,4.0,381.0,307.0
Romania,2010,1.0,238.0,40.0,313.0,279.0
Romania,2011,2.0,201.0,30.0,259.0,234.0
Romania,2012,4.0,171.0,37.0,251.0,212.0
Romania,2013,5.0,175.0,34.0,254.0,214.0
Romania,2014,7.0,179.0,33.0,249.0,218.0
Romania,2015,6.0,178.0,33.0,247.0,216.0
Romania,2016,11.0,190.0,35.0,261.0,242.0
Romania,2017,12.0,207.0,38.0,272.0,259.0
Romania,2018,12.0,210.0,30.0,272.0,255.0
Romania,2019,13.0,213.0,32.0,280.0,258.0
Romania,2020,15.0,214.0,35.0,292.0,265.0
Romania,2021,18.0,223.0,37.0,302.0,280.0
Romania,2022,23.0,223.0,37.0,303.0,284.0
Romania,2023,18.0,231.0,38.0,305.0,288.0
Serbia,2006,0.0,140.0,0.0,233.0,140.0
Serbia,2007,0.0,168.0,0.0,280.0,168.0
Serbia,2008,0.0,207.0,0.0,347.0,207.0
Serbia,2009,0.0,216.0,0.0,360.0,216.0
Serbia,2010,0.0,259.0,0.0,363.0,259.0
Serbia,2011,0.0,289.0,0.0,375.0,289.0
Serbia,2012,0.0,254.0,0.0,364.0,254.0
Serbia,2013,0.0,268.0,3.0,336.0,271.0
Serbia,2014,0.0,234.0,2.0,299.0,236.0
Serbia,2015,0.0,192.0,2.0,259.0,194.0
Serbia,2016,0.0,211.0,1.0,268.0,212.0
Serbia,2017,0.0,256.0,1.0,306.0,257.0
Serbia,2018,0.0,279.0,1.0,319.0,280.0
Serbia,2019,0.0,291.0,1.0,338.0,291.0
Serbia,2020,0.0,0.0,66.0,427.0,409.0
Serbia,2021,2.0,345.0,74.0,442.0,423.0
Serbia,2022,2.0,366.0,84.0,473.0,453.0
Serbia,2023,2.0,372.0,71.0,467.0,447.0
Slovakia,1995,28.0,258.0,8.0,295.0,294.0
Slovakia,1996,28.0,247.0,8.0,275.0,282.0
Slovakia,1997,30.0,224.0,14.0,274.0,270.0
Slovakia,1998,33.0,206.0,12.0,259.0,253.0
Slovakia,1999,32.0,210.0,12.0,261.0,256.0
Slovakia,2000,39.0,196.0,13.0,254.0,249.0
Slovakia,2001,25.0,195.0,13.0,239.0,234.0
Slovakia,2002,29.0,209.0,13.0,270.0,256.0
Slovakia,2003,30.0,218.0,16.0,281.0,266.0
Slovakia,2004,34.0,209.0,16.0,261.0,261.0
Slovakia,2005,34.0,213.0,6.0,273.0,257.0
Slovakia,2006,35.0,218.0,11.0,284.0,268.0
Slovakia,2007,34.0,225.0,19.0,294.0,278.0
Slovakia,2008,29.0,237.0,23.0,313.0,290.0
Slovakia,2009,34.0,235.0,25.0,307.0,294.0
Slovakia,2010,34.0,246.0,29.0,319.0,309.0
Slovakia,2011,34.0,230.0,34.0,311.0,298.0
Slovakia,2012,31.0,224.0,41.0,306.0,296.0
Slovakia,2013,32.0,213.0,33.0,304.0,278.0
Slovakia,2014,35.0,214.0,33.0,320.0,282.0
Slovakia,2015,35.0,226.0,49.0,329.0,310.0
Slovakia,2016,36.0,228.0,80.0,348.0,345.0
Slovakia,2017,36.0,229.0,113.0,378.0,378.0
Slovakia,2018,34.0,229.0,150.0,414.0,414.0
Slovakia,2019,39.0,219.0,162.0,421.0,421.0
Slovakia,2020,35.0,218.0,217.0,478.0,470.0
Slovakia,2021,40.0,202.0,243.0,497.0,488.0
Slovakia,2022,38.0,188.0,237.0,478.0,466.0
Slovakia,2023,36.0,183.0,237.0,472.0,462.0
Slovakia,2024,35.0,186.0,247.0,489.0,476.0
Slovenia,1995,0.0,456.0,12.0,596.0,469.0
Slovenia,1996,0.0,465.0,31.0,591.0,496.0
Slovenia,1997,0.0,491.0,35.0,589.0,526.0
Slovenia,1998,0.0,513.0,56.0,585.0,569.0
Slovenia,1999,0.0,454.0,35.0,550.0,489.0
Slovenia,2000,0.0,402.0,31.0,513.0,433.0
Slovenia,2001,0.0,358.0,13.0,478.0,370.0
Slovenia,2002,2.0,357.0,37.0,407.0,397.0
Slovenia,2003,3.0,348.0,53.0,418.0,403.0
Slovenia,2004,8.0,313.0,99.0,485.0,420.0
Slovenia,2005,1.0,329.0,92.0,494.0,422.0
Slovenia,2006,0.0,361.0,80.0,516.0,442.0
Slovenia,2007,0.0,341.0,115.0,525.0,456.0
Slovenia,2008,7.0,339.0,102.0,542.0,448.0
Slovenia,2009,7.0,308.0,102.0,524.0,417.0
Slovenia,2010,4.0,279.0,110.0,490.0,393.0
Slovenia,2011,6.0,234.0,148.0,415.0,388.0
Slovenia,2012,5.0,154.0,152.0,362.0,311.0
Slovenia,2013,2.0,109.0,144.0,414.0,255.0
Slovenia,2014,1.0,101.0,156.0,432.0,257.0
Slovenia,2015,77.0,102.0,243.0,449.0,421.0
Slovenia,2016,91.0,38.0,253.0,457.0,382.0
Slovenia,2017,54.0,48.0,272.0,471.0,374.0
Slovenia,2018,50.0,47.0,287.0,486.0,384.0
Slovenia,2019,66.0,52.0,299.0,504.0,416.0
Slovenia,2020,64.0,33.0,289.0,487.0,385.0
Slovenia,2021,56.0,31.0,311.0,511.0,405.0
Slovenia,2022,62.0,39.0,305.0,487.0,409.0
Slovenia,2023,69.0,49.0,309.0,517.0,429.0
Slovenia,2024,82.0,54.0,328.0,526.0,465.0
Spain,1995,24.0,305.0,36.0,505.0,365.0
Spain,1996,24.0,295.0,41.0,530.0,360.0
Spain,1997,35.0,315.0,46.0,554.0,396.0
Spain,1998,37.0,313.0,51.0,557.0,401.0
Spain,1999,35.0,326.0,86.0,606.0,447.0
Spain,2000,36.0,334.0,120.0,653.0,491.0
Spain,2001,36.0,360.0,140.0,652.0,536.0
Spain,2002,38.0,355.0,186.0,637.0,580.0
Spain,2003,42.0,360.0,186.0,646.0,587.0
Spain,2004,31.0,304.0,185.0,600.0,521.0
Spain,2005,44.0,288.0,185.0,588.0,517.0
Spain,2006,54.0,353.0,184.0,590.0,590.0
Spain,2007,57.0,344.0,177.0,578.0,578.0
Spain,2008,47.0,285.0,219.0,551.0,551.0
Spain,2009,48.0,314.0,180.0,542.0,542.0
Spain,2010,44.0,318.0,149.0,510.0,510.0
Spain,2011,50.0,305.0,130.0,485.0,485.0
Spain,2012,45.0,284.0,139.0,468.0,468.0
Spain,2013,53.0,253.0,148.0,455.0,455.0
Spain,2014,52.0,259.0,138.0,448.0,448.0
Spain,2015,58.0,261.0,137.0,456.0,456.0
Spain,2016,56.0,251.0,157.0,464.0,464.0
Spain,2017,60.0,242.0,171.0,473.0,473.0
Spain,2018,55.0,255.0,165.0,475.0,475.0
Spain,2019,52.0,241.0,179.0,472.0,472.0
Spain,2020,47.0,229.0,187.0,463.0,463.0
Spain,2021,51.0,220.0,211.0,482.0,482.0
Spain,2022,50.0,226.0,209.0,485.0,485.0
Spain,2023,46.0,217.0,201.0,464.0,464.0
Spain,2024,47.0,216.0,194.0,456.0,456.0
Sweden,1995,148.0,136.0,101.0,386.0,386.0
Sweden,1996,147.0,126.0,119.0,391.0,391.0
Sweden,1997,150.0,130.0,135.0,416.0,416.0
Sweden,1998,165.0,115.0,153.0,434.0,434.0
Sweden,1999,163.0,104.0,160.0,426.0,426.0
Sweden,2000,164.0,97.0,164.0,425.0,425.0
Sweden,2001,169.0,99.0,171.0,439.0,439.0
Sweden,2002,188.0,92.0,185.0,465.0,465.0
Sweden,2003,208.0,64.0,192.0,464.0,464.0
Sweden,2004,216.0,42.0,202.0,461.0,461.0
Sweden,2005,242.0,23.0,214.0,479.0,479.0
Sweden,2006,232.0,25.0,234.0,491.0,491.0
Sweden,2007,240.0,20.0,228.0,488.0,488.0
Sweden,2008,249.0,15.0,222.0,485.0,485.0
Sweden,2009,234.0,6.0,232.0,472.0,472.0
Sweden,2010,226.0,4.0,211.0,441.0,441.0
Sweden,2011,237.0,3.0,213.0,453.0,453.0
Sweden,2012,239.0,3.0,213.0,454.0,454.0
Sweden,2013,233.0,3.0,220.0,455.0,455.0
Sweden,2014,222.0,3.0,219.0,443.0,443.0
Sweden,2015,233.0,4.0,215.0,451.0,451.0
Sweden,2016,228.0,3.0,217.0,447.0,447.0
Sweden,2017,239.0,2.0,212.0,452.0,452.0
Sweden,2018,232.0,3.0,199.0,434.0,434.0
Sweden,2019,236.0,3.0,209.0,449.0,449.0
Sweden,2020,259.0,2.0,165.0,431.0,427.0
Sweden,2021,249.0,2.0,165.0,418.0,418.0
Sweden,2022,233.0,2.0,157.0,395.0,393.0
Sweden,2023,230.0,4.0,154.0,392.0,390.0
Sweden,2024,225.0,3.0,197.0,427.0,425.0
Switzerland,1995,293.0,77.0,233.0,602.0,602.0
Switzerland,1996,286.0,69.0,250.0,605.0,605.0
Switzerland,1997,285.0,68.0,257.0,606.0,610.0
Switzerland,1998,280.0,66.0,268.0,614.0,614.0
Switzerland,1999,298.0,66.0,274.0,638.0,638.0
Switzerland,2000,306.0,54.0,298.0,659.0,659.0
Switzerland,2001,326.0,28.0,309.0,663.0,663.0
Switzerland,2002,350.0,11.0,317.0,678.0,678.0
Switzerland,2003,342.0,10.0,318.0,670.0,670.0
Switzerland,2004,340.0,0.0,323.0,663.0,663.0
Switzerland,2005,328.0,0.0,336.0,664.0,664.0
Switzerland,2006,355.0,0.0,357.0,712.0,712.0
Switzerland,2007,355.0,0.0,369.0,724.0,724.0
Switzerland,2008,370.0,0.0,369.0,739.0,739.0
Switzerland,2009,343.0,0.0,362.0,705.0,705.0
Switzerland,2010,352.0,0.0,359.0,711.0,711.0
Switzerland,2011,345.0,0.0,347.0,692.0,692.0
Switzerland,2012,348.0,0.0,349.0,697.0,697.0
Switzerland,2013,346.0,0.0,360.0,706.0,706.0
Switzerland,2014,341.0,0.0,393.0,733.0,733.0
Switzerland,2015,344.0,0.0,384.0,728.0,728.0
Switzerland,2016,343.0,0.0,379.0,723.0,723.0
Switzerland,2017,337.0,0.0,372.0,709.0,709.0
Switzerland,2018,335.0,0.0,371.0,706.0,706.0
Switzerland,2019,333.0,0.0,376.0,709.0,709.0
Switzerland,2020,333.0,0.0,373.0,706.0,706.0
Switzerland,2021,336.0,0.0,368.0,704.0,704.0
Switzerland,2022,324.0,0.0,353.0,677.0,677.0
Switzerland,2023,325.0,0.0,353.0,678.0,678.0
Türkiye,1995,0.0,323.0,0.0,441.0,338.0
Türkiye,1996,0.0,342.0,0.0,466.0,357.0
Türkiye,1997,0.0,359.0,0.0,499.0,377.0
Türkiye,1998,0.0,368.0,0.0,506.0,382.0
Türkiye,1999,0.0,351.0,0.0,459.0,363.0
Türkiye,2000,0.0,363.0,0.0,465.0,375.0
Türkiye,2001,0.0,376.0,0.0,476.0,386.0
Türkiye,2002,0.0,372.0,0.0,470.0,384.0
Türkiye,2003,0.0,379.0,0.0,465.0,391.0
Türkiye,2004,0.0,361.0,0.0,440.0,370.0
Türkiye,2005,0.0,379.0,0.0,458.0,389.0
Türkiye,2006,0.0,357.0,0.0,434.0,365.0
Türkiye,2007,0.0,363.0,0.0,433.0,368.0
Türkiye,2008,0.0,335.0,0.0,400.0,339.0
Türkiye,2009,0.0,357.0,0.0,419.0,361.0
Türkiye,2010,0.0,340.0,0.0,407.0,343.0
Türkiye,2011,0.0,355.0,0.0,416.0,359.0
Türkiye,2012,0.0,340.0,0.0,410.0,342.0
Türkiye,2013,0.0,332.0,0.0,406.0,334.0
Türkiye,2014,0.0,361.0,0.0,405.0,363.0
Türkiye,2015,0.0,350.0,0.0,400.0,352.0
Türkiye,2016,0.0,359.0,39.0,426.0,398.0
Türkiye,2017,0.0,359.0,39.0,425.0,398.0
Türkiye,2018,0.0,347.0,49.0,424.0,396.0
Türkiye,2019,0.0,347.0,49.0,424.0,396.0
Türkiye,2020,0.0,337.0,51.0,415.0,388.0
Türkiye,2021,0.0,338.0,51.0,416.0,389.0
Türkiye,2022,0.0,0.0,0.0,382.0,0.0
Türkiye,2023,0.0,0.0,0.0,380.0,0.0
Türkiye,2024,0.0,0.0,0.0,402.0,0.0
